Date : 2019-11-06 18:07:04
Directory : d:\Develop\sinbad-apps\supplier-center
Total : 669 files,  78819 codes, 7465 comments, 7620 blanks, all 93904 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| src\app\main\pages\catalogues\catalogues-add-new-product\catalogues-add-new-product.component.html                     | HTML       |         16 |         16 |          5 |         37 |
| src\app\main\pages\catalogues\catalogues-add-new-product\catalogues-add-new-product.component.scss                     | SCSS       |          0 |          0 |          1 |          1 |
| src\app\main\pages\catalogues\catalogues-add-new-product\catalogues-add-new-product.component.spec.ts                  | TypeScript |         20 |          0 |          6 |         26 |
| src\app\main\pages\catalogues\catalogues-add-new-product\catalogues-add-new-product.component.ts                       | TypeScript |         66 |          0 |          6 |         72 |
| src\app\main\pages\catalogues\catalogues-form\catalogues-form.component.html                                           | HTML       |        703 |        117 |         33 |        853 |
| src\app\main\pages\catalogues\catalogues-form\catalogues-form.component.scss                                           | SCSS       |          3 |          0 |          0 |          3 |
| src\app\main\pages\catalogues\catalogues-form\catalogues-form.component.spec.ts                                        | TypeScript |         20 |          0 |          6 |         26 |
| src\app\main\pages\catalogues\catalogues-form\catalogues-form.component.ts                                             | TypeScript |        218 |          5 |         30 |        253 |
| src\app\main\pages\catalogues\catalogues-import\catalogues-import.component.html                                       | HTML       |         44 |          0 |          2 |         46 |
| src\app\main\pages\catalogues\catalogues-import\catalogues-import.component.scss                                       | SCSS       |          0 |          0 |          1 |          1 |
| src\app\main\pages\catalogues\catalogues-import\catalogues-import.component.spec.ts                                    | TypeScript |         20 |          0 |          6 |         26 |
| src\app\main\pages\catalogues\catalogues-import\catalogues-import.component.ts                                         | TypeScript |         33 |          0 |          7 |         40 |
| src\app\main\pages\catalogues\catalogues-routing.module.ts                                                             | TypeScript |         33 |          7 |          4 |         44 |
| src\app\main\pages\catalogues\catalogues.component.html                                                                | HTML       |        228 |         39 |         35 |        302 |
| src\app\main\pages\catalogues\catalogues.component.scss                                                                | SCSS       |        101 |          9 |         24 |        134 |
| src\app\main\pages\catalogues\catalogues.component.spec.ts                                                             | TypeScript |         20 |          0 |          6 |         26 |
| src\app\main\pages\catalogues\catalogues.component.ts                                                                  | TypeScript |        141 |         27 |         32 |        200 |
| src\app\main\pages\catalogues\catalogues.module.ts                                                                     | TypeScript |         29 |          0 |          6 |         35 |
| src\app\main\pages\catalogues\catalogues.service.spec.ts                                                               | TypeScript |          9 |          0 |          4 |         13 |
