filename, language, Properties, JSON, TypeScript, HTML, SCSS, CSS, Markdown, XML, comment, blank, total
src\@fuse\services\config.service.ts, TypeScript, 0, 0, 73, 0, 0, 0, 0, 0, 64, 24, 161
src\@fuse\services\copier.service.ts, TypeScript, 0, 0, 36, 0, 0, 0, 0, 0, 28, 13, 77
src\@fuse\services\match-media.service.ts, TypeScript, 0, 0, 34, 0, 0, 0, 0, 0, 15, 8, 57
src\@fuse\services\splash-screen.service.ts, TypeScript, 0, 0, 68, 0, 0, 0, 0, 0, 28, 12, 108
src\@fuse\services\translation-loader.service.ts, TypeScript, 0, 0, 19, 0, 0, 0, 0, 0, 28, 6, 53
src\@fuse\shared.module.ts, TypeScript, 0, 0, 27, 0, 0, 0, 0, 0, 0, 8, 35
src\@fuse\types\fuse-config.ts, TypeScript, 0, 0, 33, 0, 0, 0, 0, 0, 0, 1, 34
src\@fuse\types\fuse-navigation.ts, TypeScript, 0, 0, 26, 0, 0, 0, 0, 0, 0, 2, 28
src\@fuse\types\index.ts, TypeScript, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
src\@fuse\utils\index.ts, TypeScript, 0, 0, 100, 0, 0, 0, 0, 0, 45, 15, 160
src\app\app-routing.module.ts, TypeScript, 0, 0, 75, 0, 0, 0, 0, 0, 21, 4, 100
src\app\app-store.module.ts, TypeScript, 0, 0, 37, 0, 0, 0, 0, 0, 0, 3, 40
src\app\app.component.html, HTML, 0, 0, 0, 13, 0, 0, 0, 0, 20, 6, 39
src\app\app.component.scss, SCSS, 0, 0, 0, 0, 43, 0, 0, 0, 0, 8, 51
src\app\app.component.ts, TypeScript, 0, 0, 174, 0, 0, 0, 0, 0, 67, 49, 290
src\app\app.module.ts, TypeScript, 0, 0, 79, 0, 0, 0, 0, 0, 8, 15, 102
src\app\app.theme.scss, SCSS, 0, 0, 0, 0, 206, 0, 0, 0, 77, 57, 340
src\app\fake-db\academy.ts, TypeScript, 0, 0, 769, 0, 0, 0, 0, 0, 0, 5, 774
src\app\fake-db\calendar.ts, TypeScript, 0, 0, 95, 0, 0, 0, 0, 0, 0, 3, 98
src\app\fake-db\chat-panel.ts, TypeScript, 0, 0, 340, 0, 0, 0, 0, 0, 0, 4, 344
src\app\fake-db\chat.ts, TypeScript, 0, 0, 325, 0, 0, 0, 0, 0, 0, 4, 329
src\app\fake-db\contacts.ts, TypeScript, 0, 0, 410, 0, 0, 0, 0, 0, 0, 2, 412
src\app\fake-db\dashboard-analytics.ts, TypeScript, 0, 0, 693, 0, 0, 0, 0, 0, 2, 1, 696
src\app\fake-db\dashboard-project.ts, TypeScript, 0, 0, 1995, 0, 0, 0, 0, 0, 0, 4, 1999
src\app\fake-db\e-commerce.ts, TypeScript, 0, 0, 3267, 0, 0, 0, 0, 0, 0, 2, 3269
src\app\fake-db\fake-db.service.ts, TypeScript, 0, 0, 64, 0, 0, 0, 0, 0, 19, 20, 103
src\app\fake-db\faq.ts, TypeScript, 0, 0, 61, 0, 0, 0, 0, 0, 0, 1, 62
src\app\fake-db\file-manager.ts, TypeScript, 0, 0, 145, 0, 0, 0, 0, 0, 0, 2, 147
src\app\fake-db\icons.ts, TypeScript, 0, 0, 5070, 0, 0, 0, 0, 0, 0, 1, 5071
src\app\fake-db\invoice.ts, TypeScript, 0, 0, 59, 0, 0, 0, 0, 0, 0, 1, 60
src\app\fake-db\knowledge-base.ts, TypeScript, 0, 0, 113, 0, 0, 0, 0, 0, 0, 1, 114
src\app\fake-db\mail.ts, TypeScript, 0, 0, 479, 0, 0, 0, 0, 0, 0, 4, 483
src\app\fake-db\profile.ts, TypeScript, 0, 0, 355, 0, 0, 0, 0, 0, 0, 3, 358
src\app\fake-db\quick-panel.ts, TypeScript, 0, 0, 31, 0, 0, 0, 0, 0, 0, 2, 33
src\app\fake-db\scrumboard.ts, TypeScript, 0, 0, 787, 0, 0, 0, 0, 0, 0, 1, 788
src\app\fake-db\search.ts, TypeScript, 0, 0, 45, 0, 0, 0, 0, 0, 0, 2, 47
src\app\fake-db\stores.ts, TypeScript, 0, 0, 566, 0, 0, 0, 0, 0, 0, 2, 568
src\app\fake-db\todo.ts, TypeScript, 0, 0, 322, 0, 0, 0, 0, 0, 0, 3, 325
src\app\fuse-config\index.ts, TypeScript, 0, 0, 33, 0, 0, 0, 0, 0, 8, 3, 44
src\app\lang\i18n\en.ts, TypeScript, 0, 0, 93, 0, 0, 0, 0, 0, 0, 1, 94
src\app\lang\i18n\id.ts, TypeScript, 0, 0, 93, 0, 0, 0, 0, 0, 0, 1, 94
src\app\layout\components\chat-panel\chat-panel.theme.scss, SCSS, 0, 0, 0, 0, 62, 0, 0, 0, 0, 20, 82
src\app\layout\components\content\content.component.html, HTML, 0, 0, 0, 1, 0, 0, 0, 0, 5, 1, 7
src\app\layout\components\content\content.component.scss, SCSS, 0, 0, 0, 0, 12, 0, 0, 0, 0, 1, 13
src\app\layout\components\content\content.component.ts, TypeScript, 0, 0, 13, 0, 0, 0, 0, 0, 3, 2, 18
src\app\layout\components\content\content.module.ts, TypeScript, 0, 0, 19, 0, 0, 0, 0, 0, 0, 4, 23
src\app\layout\components\footer-action\footer-action.component.html, HTML, 0, 0, 0, 55, 0, 0, 0, 0, 38, 11, 104
src\app\layout\components\footer-action\footer-action.component.scss, SCSS, 0, 0, 0, 0, 15, 0, 0, 0, 0, 3, 18
src\app\layout\components\footer-action\footer-action.component.ts, TypeScript, 0, 0, 41, 0, 0, 0, 0, 0, 2, 9, 52
src\app\layout\components\footer-action\footer-action.module.ts, TypeScript, 0, 0, 21, 0, 0, 0, 0, 0, 0, 3, 24
src\app\layout\components\footer\footer.component.html, HTML, 0, 0, 0, 15, 0, 0, 0, 0, 0, 6, 21
src\app\layout\components\footer\footer.component.scss, SCSS, 0, 0, 0, 0, 14, 0, 0, 0, 0, 2, 16
src\app\layout\components\footer\footer.component.ts, TypeScript, 0, 0, 12, 0, 0, 0, 0, 0, 3, 2, 17
src\app\layout\components\footer\footer.module.ts, TypeScript, 0, 0, 25, 0, 0, 0, 0, 0, 0, 6, 31
src\app\layout\components\navbar\horizontal\custom-style-1\custom-style-1.component.html, HTML, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
src\app\layout\components\navbar\horizontal\custom-style-1\custom-style-1.component.scss, SCSS, 0, 0, 0, 0, 33, 0, 0, 0, 0, 5, 38
src\app\layout\components\navbar\horizontal\custom-style-1\custom-style-1.component.ts, TypeScript, 0, 0, 42, 0, 0, 0, 0, 0, 40, 9, 91
src\app\layout\components\navbar\horizontal\custom-style-1\custom-style-1.module.ts, TypeScript, 0, 0, 12, 0, 0, 0, 0, 0, 0, 3, 15
src\app\layout\components\navbar\horizontal\style-1\style-1.component.html, HTML, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
src\app\layout\components\navbar\horizontal\style-1\style-1.component.scss, SCSS, 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
src\app\layout\components\navbar\horizontal\style-1\style-1.component.ts, TypeScript, 0, 0, 47, 0, 0, 0, 0, 0, 21, 9, 77
src\app\layout\components\navbar\horizontal\style-1\style-1.module.ts, TypeScript, 0, 0, 23, 0, 0, 0, 0, 0, 0, 5, 28
src\app\layout\components\navbar\navbar.component.html, HTML, 0, 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
src\app\layout\components\navbar\navbar.component.scss, SCSS, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 4
src\app\layout\components\navbar\navbar.component.ts, TypeScript, 0, 0, 22, 0, 0, 0, 0, 0, 32, 8, 62
src\app\layout\components\navbar\navbar.module.ts, TypeScript, 0, 0, 19, 0, 0, 0, 0, 0, 0, 5, 24
src\app\layout\components\navbar\vertical\style-1\style-1.component.html, HTML, 0, 0, 0, 45, 0, 0, 0, 0, 0, 5, 50
src\app\layout\components\navbar\vertical\style-1\style-1.component.scss, SCSS, 0, 0, 0, 0, 160, 0, 0, 0, 1, 38, 199
src\app\layout\components\navbar\vertical\style-1\style-1.component.ts, TypeScript, 0, 0, 95, 0, 0, 0, 0, 0, 93, 23, 211
src\app\layout\components\navbar\vertical\style-1\style-1.module.ts, TypeScript, 0, 0, 23, 0, 0, 0, 0, 0, 0, 5, 28
src\app\layout\components\navbar\vertical\style-2\style-2.component.html, HTML, 0, 0, 0, 30, 0, 0, 0, 0, 0, 4, 34
src\app\layout\components\navbar\vertical\style-2\style-2.component.scss, SCSS, 0, 0, 0, 0, 83, 0, 0, 0, 1, 25, 109
src\app\layout\components\navbar\vertical\style-2\style-2.component.ts, TypeScript, 0, 0, 86, 0, 0, 0, 0, 0, 37, 18, 141
src\app\layout\components\navbar\vertical\style-2\style-2.module.ts, TypeScript, 0, 0, 23, 0, 0, 0, 0, 0, 0, 5, 28
src\app\layout\components\quick-panel\quick-panel.component.html, HTML, 0, 0, 0, 61, 0, 0, 0, 0, 0, 15, 76
src\app\layout\components\quick-panel\quick-panel.component.scss, SCSS, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
src\app\layout\components\quick-panel\quick-panel.component.ts, TypeScript, 0, 0, 23, 0, 0, 0, 0, 0, 4, 3, 30
src\app\layout\components\quick-panel\quick-panel.module.ts, TypeScript, 0, 0, 23, 0, 0, 0, 0, 0, 0, 5, 28
src\app\layout\components\toolbar\toolbar.component.html, HTML, 0, 0, 0, 86, 0, 0, 0, 0, 62, 14, 162
src\app\layout\components\toolbar\toolbar.component.scss, SCSS, 0, 0, 0, 0, 44, 0, 0, 0, 0, 11, 55
src\app\layout\components\toolbar\toolbar.component.ts, TypeScript, 0, 0, 119, 0, 0, 0, 0, 0, 122, 29, 270
src\app\layout\components\toolbar\toolbar.module.ts, TypeScript, 0, 0, 26, 0, 0, 0, 0, 0, 0, 4, 30
src\app\layout\components\toolbar\toolbar.theme.scss, SCSS, 0, 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
src\app\layout\horizontal\layout-1\layout-1.component.html, HTML, 0, 0, 0, 58, 0, 0, 0, 0, 33, 27, 118
src\app\layout\horizontal\layout-1\layout-1.component.scss, SCSS, 0, 0, 0, 0, 50, 0, 0, 0, 4, 9, 63
src\app\layout\horizontal\layout-1\layout-1.component.ts, TypeScript, 0, 0, 37, 0, 0, 0, 0, 0, 19, 9, 65
src\app\layout\horizontal\layout-1\layout-1.module.ts, TypeScript, 0, 0, 26, 0, 0, 0, 0, 0, 0, 4, 30
src\app\layout\layout.module.ts, TypeScript, 0, 0, 20, 0, 0, 0, 0, 0, 0, 4, 24
src\app\layout\vertical\layout-1\layout-1.component.html, HTML, 0, 0, 0, 122, 0, 0, 0, 0, 45, 22, 189
src\app\layout\vertical\layout-1\layout-1.component.scss, SCSS, 0, 0, 0, 0, 50, 0, 0, 0, 4, 8, 62
src\app\layout\vertical\layout-1\layout-1.component.ts, TypeScript, 0, 0, 39, 0, 0, 0, 0, 0, 66, 14, 119
src\app\layout\vertical\layout-1\layout-1.module.ts, TypeScript, 0, 0, 29, 0, 0, 0, 0, 0, 0, 6, 35
src\app\layout\vertical\layout-2\layout-2.component.html, HTML, 0, 0, 0, 67, 0, 0, 0, 0, 37, 29, 133
src\app\layout\vertical\layout-2\layout-2.component.scss, SCSS, 0, 0, 0, 0, 40, 0, 0, 0, 3, 5, 48
src\app\layout\vertical\layout-2\layout-2.component.ts, TypeScript, 0, 0, 37, 0, 0, 0, 0, 0, 19, 9, 65
src\app\layout\vertical\layout-2\layout-2.module.ts, TypeScript, 0, 0, 29, 0, 0, 0, 0, 0, 0, 6, 35
src\app\layout\vertical\layout-3\layout-3.component.html, HTML, 0, 0, 0, 61, 0, 0, 0, 0, 33, 25, 119
